,No.,Code,Nama,Tanggal Pencatatan,Saham,Papan,Code-Nama
148,149,BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7626663000,Utama,Bank BTPN Syariah Tbk. (BTPS)
149,150,BUDI,Budi Starch & Sweetener Tbk.,08 Mei 1995,4498997362,UTAMA,Budi Starch & Sweetener Tbk. (BUDI)
150,151,BUKA,Bukalapak.com Tbk.,06 Ags 2021,103062019354,Pengembangan,Bukalapak.com Tbk. (BUKA)
151,152,BUKK,Bukaka Teknik Utama Tbk.,2015-06-29 00:00:00,2640452000,Pengembangan,Bukaka Teknik Utama Tbk. (BUKK)
152,153,BULL,Buana Lintas Lautan Tbk.,23 Mei 2011,13432475163,Utama,Buana Lintas Lautan Tbk. (BULL)
153,154,BUMI,Bumi Resources Tbk.,1990-07-30 00:00:00,74274746007,Pengembangan,Bumi Resources Tbk. (BUMI)
154,155,BUVA,Bukit Uluwatu Villa Tbk.,2010-07-12 00:00:00,6811269200,Pengembangan,Bukit Uluwatu Villa Tbk. (BUVA)
155,156,BVIC,Bank Victoria International Tb,1999-06-30 00:00:00,10382261242,Utama,Bank Victoria International Tb (BVIC)
156,157,BWPT,Eagle High Plantations Tbk.,27 Okt 2009,31525291000,Utama,Eagle High Plantations Tbk. (BWPT)
157,158,BYAN,Bayan Resources Tbk.,12 Ags 2008,3333333500,Utama,Bayan Resources Tbk. (BYAN)
158,159,CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1203300219,PENGEMBANGAN,Cahayaputra Asa Keramik Tbk. (CAKK)
159,160,CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5885000000,Utama,Campina Ice Cream Industry Tbk (CAMP)
160,161,CANI,Capitol Nusantara Indonesia Tb,2014-01-16 00:00:00,833440000,Pengembangan,Capitol Nusantara Indonesia Tb (CANI)
161,162,CARE,Metro Healthcare Indonesia Tbk,2020-03-13 00:00:00,33250000000,PENGEMBANGAN,Metro Healthcare Indonesia Tbk (CARE)
162,163,CARS,Industri dan Perdagangan Bintr,2017-04-10 00:00:00,15000000000,Utama,Industri dan Perdagangan Bintr (CARS)
163,164,CASA,Capital Financial Indonesia Tb,2016-07-19 00:00:00,54476269803,Pengembangan,Capital Financial Indonesia Tb (CASA)
164,165,CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1431125517,Akselerasi,Cashlez Worldwide Indonesia Tb (CASH)
165,166,CASS,Cardig Aero Services Tbk.,05 Des 2011,2086950000,PENGEMBANGAN,Cardig Aero Services Tbk. (CASS)
166,167,CBMF,Cahaya Bintang Medan Tbk.,2020-04-09 00:00:00,1875000000,PENGEMBANGAN,Cahaya Bintang Medan Tbk. (CBMF)
167,168,CCSI,Communication Cable Systems In,2019-06-18 00:00:00,1199999998,Pengembangan,Communication Cable Systems In (CCSI)
168,169,CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09 00:00:00,595000000,UTAMA,Wilmar Cahaya Indonesia Tbk. (CEKA)
169,170,CENT,Centratama Telekomunikasi Indo,2001-11-01 00:00:00,31183464900,Pengembangan,Centratama Telekomunikasi Indo (CENT)
170,171,CFIN,Clipan Finance Indonesia Tbk.,27 Ags 1990,3984520457,Utama,Clipan Finance Indonesia Tbk. (CFIN)
171,172,CINT,Chitose Internasional Tbk.,2014-06-27 00:00:00,1000000000,Pengembangan,Chitose Internasional Tbk. (CINT)
172,173,CITA,Cita Mineral Investindo Tbk.,2002-03-20 00:00:00,3960361250,Pengembangan,Cita Mineral Investindo Tbk. (CITA)
173,174,CITY,Natura City Developments Tbk.,2018-09-28 00:00:00,5405188966,Utama,Natura City Developments Tbk. (CITY)
174,175,CLAY,Citra Putra Realty Tbk.,2019-01-18 00:00:00,2570000000,Pengembangan,Citra Putra Realty Tbk. (CLAY)
175,176,CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,12000000000,Utama,Sariguna Primatirta Tbk. (CLEO)
176,177,CLPI,Colorpak Indonesia Tbk.,2001-11-30 00:00:00,306338500,PENGEMBANGAN,Colorpak Indonesia Tbk. (CLPI)
177,178,CMNP,Citra Marga Nusaphala Persada,1995-01-10 00:00:00,5431853297,Utama,Citra Marga Nusaphala Persada (CMNP)
178,179,CMNT,Cemindo Gemilang Tbk.,2021-09-08 00:00:00,17125504000,Utama,Cemindo Gemilang Tbk. (CMNT)
180,181,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7934683000,Utama,Cisarua Mountain Dairy Tbk. (CMRY)
181,182,CNKO,Exploitasi Energi Indonesia Tb,2001-11-20 00:00:00,8956361206,Utama,Exploitasi Energi Indonesia Tb (CNKO)
182,183,CNTX,Century Textile Industry Tbk.,22 Mei 1979,70000000,Pengembangan,Century Textile Industry Tbk. (CNTX)
183,184,COCO,Wahana Interfood Nusantara Tbk,2019-03-20 00:00:00,588703137,Pengembangan,Wahana Interfood Nusantara Tbk (COCO)
184,185,COWL,Cowell Development Tbk.,19 Des 2007,4871214021,PENGEMBANGAN,Cowell Development Tbk. (COWL)
185,186,CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18 00:00:00,16398000000,UTAMA,Charoen Pokphand Indonesia Tbk (CPIN)
186,187,CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11 00:00:00,2433375005,PENGEMBANGAN,Capri Nusa Satu Properti Tbk. (CPRI)
187,188,CPRO,Central Proteina Prima Tbk.,2006-11-28 00:00:00,59572382787,Utama,Central Proteina Prima Tbk. (CPRO)
